,data
0,"('ALLCARGO', '138.45')"
1,"('ARVINDFASN', '142.00')"
2,"('BAFNAPH', '135.40')"
3,"('BALMLAWRIE', '137.85')"
4,"('BCLIND', '147.80')"
5,"('BURGERKING', '143.20')"
6,"('CANBK', '148.90')"
7,"('CAREERP', '132.70')"
8,"('COALINDIA', '145.60')"
9,"('CYBERTECH', '142.00')"
10,"('DPWIRES', '145.25')"
11,"('DVL', '142.15')"
12,"('ENIL', '148.90')"
13,"('ESTER', '145.00')"
14,"('FSL', '135.30')"
15,"('GOKEX', '133.00')"
16,"('GREAVESCOT', '136.60')"
17,"('GTPL', '141.00')"
18,"('HEMIPROP', '132.30')"
19,"('HIRECT', '143.35')"
20,"('JKPAPER', '149.00')"
21,"('JYOTHYLAB', '146.85')"
22,"('LIBERTSHOE', '142.00')"
23,"('LUMAXTECH', '138.70')"
24,"('MAGMA', '139.80')"
25,"('MAHEPC', '142.90')"
26,"('MANGALAM', '149.80')"
27,"('MUNJALSHOW', '143.25')"
28,"('NAHARSPING', '139.00')"
29,"('OIL', '134.60')"
30,"('OPTIEMUS', '133.50')"
31,"('PALREDTEC', '138.80')"
32,"('PARAGMILK', '146.10')"
33,"('PODDARHOUS', '146.00')"
34,"('PPL', '135.10')"
35,"('PREMEXPLN', '148.00')"
36,"('PRSMJOHNSN', '142.90')"
37,"('RAILTEL', '133.00')"
38,"('RECLTD', '141.35')"
39,"('REFEX', '134.45')"
40,"('RSYSTEMS', '135.80')"
41,"('SAKAR', '142.50')"
42,"('SELAN', '140.40')"
43,"('SHANTIGEAR', '147.20')"
44,"('SHK', '147.40')"
45,"('SREEL', '147.05')"
46,"('SWANENERGY', '133.55')"
47,"('TEMBO', '140.25')"
48,"('TNPL', '138.65')"
49,"('TVSELECT', '146.30')"
50,"('VINYLINDIA', '149.20')"
51,"('VISHWARAJ', '136.10')"
52,"('WELCORP', '144.35')"
