,data
0,"('AGRITECH', '43.85')"
1,"('ASTRON', '42.50')"
2,"('BANARBEADS', '49.50')"
3,"('BIRLAMONEY', '44.75')"
4,"('BSL', '46.85')"
5,"('CEREBRAINT', '49.35')"
6,"('CMICABLES', '46.60')"
7,"('CORDSCABLE', '45.15')"
8,"('DEEPENR', '41.80')"
9,"('DEN', '44.00')"
10,"('DIGISPICE', '43.35')"
11,"('EMAMIREAL', '46.00')"
12,"('FRETAIL', '45.15')"
13,"('GENCON', '44.90')"
14,"('GILLANDERS', '41.10')"
15,"('GLOBALVECT', '43.85')"
16,"('GLOBE', '46.00')"
17,"('GOLDENTOBC', '46.60')"
18,"('GULFPETRO', '46.05')"
19,"('HFCL', '42.70')"
20,"('HPL', '49.40')"
21,"('HUDCO', '46.30')"
22,"('INFIBEAM', '42.30')"
23,"('INSPIRISYS', '44.50')"
24,"('JMA', '48.55')"
25,"('KERNEX', '49.40')"
26,"('KOTARISUG', '43.35')"
27,"('KOTHARIPET', '43.40')"
28,"('LEMONTREE', '41.00')"
29,"('LIBAS', '45.95')"
30,"('LOKESHMACH', '43.75')"
31,"('MANINFRA', '42.20')"
32,"('MGEL', '47.10')"
33,"('MOLDTECH', '44.55')"
34,"('NAVKARCORP', '43.50')"
35,"('NBCC', '49.05')"
36,"('NDL', '48.90')"
37,"('NITIRAJ', '45.55')"
38,"('OMAXAUTO', '49.00')"
39,"('PTL', '41.90')"
40,"('SAGARDEEP', '49.10')"
41,"('SANGHIIND', '49.10')"
42,"('SDBL', '44.55')"
43,"('SHRADHA', '44.80')"
44,"('SILGO', '44.75')"
45,"('SPECIALITY', '43.60')"
46,"('SPIC', '45.85')"
47,"('SURYALAXMI', '47.90')"
48,"('SUTLEJTEX', '48.35')"
49,"('TARMAT', '49.40')"
50,"('TERASOFT', '42.40')"
51,"('TI', '43.25')"
52,"('TIMESGTY', '46.15')"
53,"('TOTAL', '43.50')"
54,"('TWL', '48.85')"
55,"('UNIVASTU', '41.65')"
56,"('VARDHACRLC', '42.55')"
57,"('VISHAL', '43.85')"
58,"('WEBELSOLAR', '44.55')"
