,data
0,"('20MICRONS', '54.65')"
1,"('AARVI', '52.00')"
2,"('ABMINTLTD', '61.95')"
3,"('ACCURACY', '61.05')"
4,"('ADSL', '57.30')"
5,"('ADVANIHOTR', '57.15')"
6,"('AJOONI', '52.90')"
7,"('ALKALI', '60.05')"
8,"('ALPA', '59.60')"
9,"('ANANTRAJ', '52.75')"
10,"('ASIANHOTNR', '68.10')"
11,"('AUSOMENT', '67.50')"
12,"('AVTNPL', '55.20')"
13,"('AXISCADES', '63.70')"
14,"('AYMSYNTEX', '58.50')"
15,"('BALAJITELE', '56.05')"
16,"('BGRENERGY', '59.00')"
17,"('BHAGYANGR', '56.80')"
18,"('BHARATWIRE', '58.80')"
19,"('CONFIPET', '64.20')"
20,"('CONSOFINVT', '60.95')"
21,"('DEEPINDS', '59.45')"
22,"('DWARKESH', '56.05')"
23,"('EDELWEISS', '61.00')"
24,"('EQUITASBNK', '55.55')"
25,"('FLFL', '52.60')"
26,"('GALLANTT', '63.00')"
27,"('GALLISPAT', '52.00')"
28,"('GANESHHOUC', '64.95')"
29,"('GENUSPOWER', '53.10')"
30,"('GEOJITFSL', '68.85')"
31,"('GUJRAFFIA', '61.00')"
32,"('HMVL', '68.85')"
33,"('HOVS', '51.50')"
34,"('ICEMAKE', '68.50')"
35,"('IDFC', '53.75')"
36,"('IDFCFIRSTB', '55.80')"
37,"('IIFLSEC', '61.90')"
38,"('IITL', '63.00')"
39,"('INDORAMA', '53.95')"
40,"('INDOTHAI', '53.05')"
41,"('INTENTECH', '62.25')"
42,"('JAGRAN', '54.45')"
43,"('JAMNAAUTO', '69.50')"
44,"('JINDALPHOT', '52.25')"
45,"('JINDWORLD', '53.75')"
46,"('JSWISPL', '57.00')"
47,"('KALYANKJIL', '61.15')"
48,"('KARURVYSYA', '58.40')"
49,"('KELLTONTEC', '63.40')"
50,"('KEYFINSERV', '57.95')"
51,"('KOKUYOCMLN', '58.40')"
52,"('KTKBANK', '67.30')"
53,"('KUANTUM', '65.30')"
54,"('LAMBODHARA', '62.55')"
55,"('LYKALABS', '54.85')"
56,"('MADHAV', '51.65')"
57,"('MANAKSIA', '63.20')"
58,"('MAWANASUG', '51.85')"
59,"('MAXIND', '69.10')"
60,"('MAXVIL', '64.45')"
61,"('MENONBE', '58.95')"
62,"('MINDTECK', '52.95')"
63,"('MIRZAINT', '52.00')"
64,"('MMTC', '54.15')"
65,"('MODISNME', '56.15')"
66,"('MOREPENLAB', '58.80')"
67,"('MRPL', '51.85')"
68,"('MUNJALAU', '58.35')"
69,"('NACLIND', '51.90')"
70,"('NAHARINDUS', '59.40')"
71,"('NFL', '67.10')"
72,"('NLCINDIA', '63.00')"
73,"('ORBTEXP', '69.80')"
74,"('PALASHSECU', '58.00')"
75,"('PANACHE', '56.65')"
76,"('PFOCUS', '61.50')"
77,"('PIONEEREMB', '56.45')"
78,"('PITTIENG', '68.95')"
79,"('PNBGILTS', '61.55')"
80,"('PRECAM', '52.70')"
81,"('PREMIERPOL', '55.90')"
82,"('RELINFRA', '52.00')"
83,"('RKEC', '62.45')"
84,"('ROHLTD', '68.55')"
85,"('RPPINFRA', '69.20')"
86,"('RUCHIRA', '67.00')"
87,"('SADBHAV', '66.30')"
88,"('SEYAIND', '55.05')"
89,"('SHIVAMILLS', '61.50')"
90,"('SKIPPER', '58.90')"
91,"('SKMEGGPROD', '65.80')"
92,"('SNOWMAN', '53.95')"
93,"('SOMICONVEY', '52.50')"
94,"('STEELXIND', '66.75')"
95,"('SUBEXLTD', '59.90')"
96,"('SUNDARMHLD', '69.00')"
97,"('TAKE', '69.25')"
98,"('TFCILTD', '64.25')"
99,"('THOMASCOOK', '52.60')"
100,"('TTL', '54.25')"
101,"('USHAMART', '55.50')"
102,"('WEIZMANIND', '54.55')"
103,"('WIPL', '58.20')"
104,"('WORTH', '63.50')"
105,"('XCHANGING', '68.85')"
