,data
0,"('63MOONS', '87.85')"
1,"('ARVIND', '75.75')"
2,"('ASHOKA', '86.50')"
3,"('BANKA', '82.90')"
4,"('BANKBARODA', '76.85')"
5,"('BANKINDIA', '78.75')"
6,"('BIGBLOC', '85.00')"
7,"('BIOFILCHEM', '71.00')"
8,"('BIRLACABLE', '76.50')"
9,"('BOMDYEING', '76.00')"
10,"('BROOKS', '89.95')"
11,"('CAPTRUST', '88.65')"
12,"('CGPOWER', '88.25')"
13,"('CLEDUCATE', '85.00')"
14,"('CREATIVE', '88.05')"
15,"('CREST', '87.55')"
16,"('DAAWAT', '84.95')"
17,"('DOLAT', '75.35')"
18,"('EMKAY', '72.80')"
19,"('ENGINERSIN', '83.95')"
20,"('EQUITAS', '88.90')"
21,"('FCL', '81.45')"
22,"('FEDERALBNK', '85.05')"
23,"('FSC', '73.60')"
24,"('GANGESSECU', '72.55')"
25,"('GFLLIMITED', '71.40')"
26,"('GIPCL', '85.65')"
27,"('GMDCLTD', '76.30')"
28,"('GSS', '71.95')"
29,"('IBREALEST', '85.60')"
30,"('INDSWFTLAB', '82.20')"
31,"('INOXWIND', '76.95')"
32,"('ISFT', '86.50')"
33,"('ITDCEM', '80.35')"
34,"('IZMO', '79.35')"
35,"('JINDALSAW', '88.05')"
36,"('JMFINANCIL', '79.85')"
37,"('JTEKTINDIA', '87.00')"
38,"('KESORAMIND', '77.05')"
39,"('KOTHARIPRO', '86.90')"
40,"('KRISHANA', '83.35')"
41,"('LASA', '77.90')"
42,"('LFIC', '79.60')"
43,"('MACPOWER', '89.40')"
44,"('MAHAPEXLTD', '89.00')"
45,"('MAHASTEEL', '89.80')"
46,"('MAJESCO', '77.75')"
47,"('MANALIPETC', '82.40')"
48,"('MARINE', '83.10')"
49,"('MARKSANS', '75.75')"
50,"('MBAPL', '82.85')"
51,"('MCL', '85.80')"
52,"('MODIRUBBER', '76.45')"
53,"('NATIONALUM', '74.85')"
54,"('NAVNETEDUL', '72.85')"
55,"('NCC', '82.10')"
56,"('NDTV', '71.05')"
57,"('NELCAST', '77.00')"
58,"('OMAXE', '81.75')"
59,"('ORIENTLTD', '80.90')"
60,"('PRICOLLTD', '85.80')"
61,"('PURVA', '79.55')"
62,"('RAMASTEEL', '75.00')"
63,"('RAMKY', '75.85')"
64,"('RCF', '82.85')"
65,"('SATIA', '83.05')"
66,"('SATIN', '84.40')"
67,"('SECURKLOUD', '83.00')"
68,"('SHREDIGCEM', '77.05')"
69,"('SINTERCOM', '78.10')"
70,"('SMCGLOBAL', '73.35')"
71,"('SPENCERS', '72.05')"
72,"('SPICEJET', '77.20')"
73,"('STCINDIA', '89.65')"
74,"('STEL', '81.90')"
75,"('SUNFLAG', '83.60')"
76,"('TAINWALCHM', '75.00')"
77,"('TIMETECHNO', '81.30')"
78,"('TOKYOPLAST', '77.30')"
79,"('TOUCHWOOD', '78.25')"
80,"('TRIGYN', '84.80')"
81,"('UFO', '75.50')"
82,"('UMANGDAIRY', '77.50')"
83,"('WALCHANNAG', '72.70')"
84,"('ZENITHEXPO', '80.55')"
85,"('ZENTEC', '72.25')"
