,data
0,"('ABFRL', '186.90')"
1,"('ASIANTILES', '171.20')"
2,"('ASPINWALL', '187.00')"
3,"('ATULAUTO', '189.00')"
4,"('BSHSL', '177.80')"
5,"('CUB', '171.00')"
6,"('DHANI', '177.10')"
7,"('EXIDEIND', '188.95')"
8,"('GAEL', '180.45')"
9,"('GRSE', '184.40')"
10,"('GUFICBIO', '181.95')"
11,"('GULPOLY', '172.05')"
12,"('HARRMALAYA', '172.05')"
13,"('HCG', '189.00')"
14,"('HIMATSEIDE', '171.20')"
15,"('HINDCOPPER', '177.90')"
16,"('INDIACEM', '178.60')"
17,"('INDIANHUME', '175.90')"
18,"('JAYAGROGN', '185.00')"
19,"('JKIL', '181.25')"
20,"('JOCIL', '174.70')"
21,"('JSLHISAR', '183.35')"
22,"('KANPRPLA', '187.20')"
23,"('KARDA', '174.50')"
24,"('MAHINDCIE', '182.35')"
25,"('MOIL', '176.85')"
26,"('NIITLTD', '187.05')"
27,"('NMDC', '188.95')"
28,"('OLECTRA', '180.45')"
29,"('RAIN', '175.00')"
30,"('REDINGTON', '188.55')"
31,"('SANGHVIMOV', '171.15')"
32,"('SHIVATEX', '187.00')"
33,"('SHREEPUSHK', '174.15')"
34,"('STERTOOLS', '187.80')"
35,"('TATACOFFEE', '173.35')"
36,"('TEJASNET', '180.80')"
