,data
0,"('AHLADA', '99.50')"
1,"('ARVSMART', '93.90')"
2,"('BALPHARMA', '96.60')"
3,"('BLS', '98.00')"
4,"('DBCORP', '92.40')"
5,"('DCBBANK', '98.70')"
6,"('EIHOTEL', '98.00')"
7,"('GEEKAYWIRE', '93.00')"
8,"('IRCON', '98.95')"
9,"('JAGSNPHARM', '97.95')"
10,"('JAICORPLTD', '96.75')"
11,"('JMCPROJECT', '97.70')"
12,"('JSL', '94.35')"
13,"('LOVABLE', '99.95')"
14,"('MANGCHEFER', '92.60')"
15,"('MMP', '96.60')"
16,"('NBVENTURES', '95.55')"
17,"('PTC', '96.20')"
18,"('RAJMET', '97.40')"
19,"('RELIGARE', '94.50')"
20,"('ROML', '91.00')"
21,"('SCHAND', '96.70')"
22,"('SHALPAINTS', '94.50')"
23,"('SHEMAROO', '97.85')"
24,"('SHREYANIND', '93.65')"
25,"('SMARTLINK', '91.90')"
26,"('SUVEN', '95.00')"
27,"('TNPETRO', '93.90')"
28,"('TRF', '98.50')"
29,"('TRITURBINE', '98.00')"
30,"('WELSPUNIND', '95.75')"
31,"('ZODIACLOTH', '99.10')"
32,"('ZUARI', '98.95')"
33,"('ZUARIGLOB', '93.50')"
