,data
0,"('3IINFOTECH', '8.80')"
1,"('ADROITINFO', '9.65')"
2,"('ANDHRACEMT', '6.40')"
3,"('ATLANTA', '8.85')"
4,"('BCG', '8.30')"
5,"('BLBLIMITED', '6.75')"
6,"('BRFL', '6.90')"
7,"('CALSOFT', '9.10')"
8,"('CENTEXT', '6.70')"
9,"('COMPUSOFT', '9.35')"
10,"('DBSTOCKBRO', '9.55')"
11,"('DGCONTENT', '7.50')"
12,"('DUCON', '6.90')"
13,"('ESSARSHPNG', '9.35')"
14,"('FCONSUMER', '6.75')"
15,"('FEL', '9.00')"
16,"('GBGLOBAL', '9.45')"
17,"('GENUSPAPER', '8.35')"
18,"('GTL', '7.10')"
19,"('HCC', '8.80')"
20,"('HCL-INSYS', '9.35')"
21,"('HINDMOTORS', '8.40')"
22,"('HLVLTD', '6.70')"
23,"('IDEA', '8.60')"
24,"('IMAGICAA', '6.50')"
25,"('IVC', '6.50')"
26,"('JPASSOCIAT', '7.85')"
27,"('JUMPNET', '6.00')"
28,"('MBECL', '7.35')"
29,"('METALFORGE', '6.70')"
30,"('MITTAL', '9.90')"
31,"('MOHITIND', '7.80')"
32,"('MOHOTAIND', '7.25')"
33,"('MTEDUCARE', '7.40')"
34,"('NAGAFERT', '9.70')"
35,"('NOIDATOLL', '6.20')"
36,"('ONELIFECAP', '7.15')"
37,"('ORIENTALTL', '8.70')"
38,"('OSWALAGRO', '9.30')"
39,"('PAEL', '9.55')"
40,"('PARSVNATH', '8.80')"
41,"('PENINLAND', '7.00')"
42,"('PRAENG', '9.80')"
43,"('RKDL', '9.90')"
44,"('RPOWER', '7.05')"
45,"('RUCHINFRA', '7.55')"
46,"('SAKUMA', '6.10')"
47,"('SANCO', '8.65')"
48,"('SHYAMCENT', '8.90')"
49,"('SOMATEX', '6.30')"
50,"('SREINFRA', '7.00')"
51,"('SURANASOL', '9.70')"
52,"('TGBHOTELS', '6.00')"
53,"('THIRUSUGAR', '8.00')"
54,"('THOMASCOTT', '6.10')"
55,"('TIJARIA', '6.90')"
56,"('TREEHOUSE', '8.15')"
57,"('URJA', '6.75')"
58,"('UTTAMSTL', '8.65')"
59,"('VISASTEEL', '9.20')"
60,"('ZEEMEDIA', '9.80')"
