,symbol,price,change,pchange
0,ASPINWALL,202.15,9.95,5
1,BSHSL,186.65,8.85,4
2,GRSE,186.30,5.65,3
3,INDIACEM,199.80,21.45,12
4,KARDA,183.20,8.70,4
5,MAHINDCIE,189.15,7.45,4
