,symbol,price,change,pchange
0,DEEPENR,41.40,1.40,3
1,DIGISPICE,45.50,2.15,4
2,EMAMIREAL,50.40,4.55,9
3,GLOBE,47.50,2.25,4
4,HFCL,44.40,2.60,6
5,HPL,51.75,2.45,4
6,KERNEX,51.85,2.45,4
7,MANINFRA,43.15,1.35,3
8,MOLDTECH,52.85,7.20,15
9,NITIRAJ,47.80,2.25,4
10,TARMAT,54.95,3.95,7
11,TERASOFT,46.00,1.35,3
12,TWL,51.75,3.45,7
13,VISHAL,47.15,2.10,4
