,symbol,price,change,pchange
0,ASHOKA,87.60,2.95,3
1,BANKINDIA,77.15,2.50,3
2,BIGBLOC,87.00,2.65,3
3,INDSWFTLAB,82.35,2.45,3
4,IZMO,79.35,3.75,4
5,LASA,77.90,2.60,3
6,NDTV,71.05,3.35,4
7,TOUCHWOOD,78.25,3.70,4
8,ZENITHEXPO,80.55,13.40,19
