,symbol,price,change,pchange
0,ARIHANT,20.85,0.95,4
1,BALKRISHNA,23.20,1.10,4
2,BVCL,22.35,1.05,4
3,CEBBCO,22.20,1.05,4
4,HATHWAY,24.25,1.05,4
5,JBFIND,20.15,0.95,4
6,MANAKALUCO,18.10,0.85,4
7,MTNL,17.70,0.55,3
8,MURUDCERA,23.95,2.10,9
9,ORICONENT,25.35,1.20,4
10,PCJEWELLER,26.10,1.75,7
11,PSB,20.40,0.70,3
12,RTNINDIA,17.10,0.80,4
13,RVHL,17.85,0.85,5
14,SETCO,19.30,0.90,4
15,SHIVAMAUTO,23.25,2.10,9
16,SUVIDHAA,21.95,1.00,4
17,TRIL,24.00,1.00,4
18,VASCONEQ,17.10,0.50,3
