,symbol,price,change,pchange
0,CTE,31.20,1.45,4
1,GAYAPROJ,33.75,4.05,13
2,GSCLCEMENT,41.25,1.30,3
3,HINDNATGLS,37.20,1.75,4
4,INDTERRAIN,33.85,1.60,4
5,MADRASFERT,30.65,1.45,4
6,ORIENTPPR,27.55,1.45,5
7,PNB,37.90,1.70,4
8,RAJTV,35.70,1.10,3
9,SUPREMEENG,28.90,2.60,9
10,TARC,28.70,1.05,3
11,TEXMOPIPES,42.80,6.50,17
12,TEXRAIL,30.25,2.05,7
13,TREJHARA,41.00,1.70,4
14,VIPULLTD,30.70,1.45,4
