,symbol,price,change,pchange
0,AJOONI,53.75,2.55,4
1,ALKALI,58.80,2.25,3
2,ALPA,59.60,2.80,4
3,ANANTRAJ,52.75,2.50,4
4,AUSOMENT,70.00,4.40,6
5,BHAGYANGR,56.80,2.70,4
6,GEOJITFSL,70.40,2.50,3
7,GUJRAFFIA,61.95,2.95,5
8,HOVS,51.50,2.45,4
9,ICEMAKE,71.40,2.15,3
10,IITL,63.00,2.55,4
11,INDORAMA,59.90,6.05,11
12,INTENTECH,58.50,3.25,5
13,JAMNAAUTO,72.30,3.30,4
14,KOKUYOCMLN,58.25,1.95,3
15,LYKALABS,54.85,2.60,4
16,MAXVIL,64.00,2.20,3
17,MINDTECK,56.00,4.45,8
18,MIRZAINT,51.15,2.65,5
19,MOREPENLAB,58.80,2.80,5
20,NAHARINDUS,61.40,2.85,4
21,PANACHE,57.90,1.70,3
22,PITTIENG,71.75,3.65,5
23,PRECAM,54.75,8.90,19
24,PREMIERPOL,53.00,5.20,10
25,RPPINFRA,68.85,6.90,11
26,RUCHIRA,66.20,2.50,3
27,SOMICONVEY,52.50,2.50,5
28,TAKE,68.95,7.95,13
29,THOMASCOOK,52.60,2.50,4
30,WEIZMANIND,54.70,1.80,3
31,WIPL,59.95,1.75,3
