,symbol,price,change,pchange
0,AJMERA,127.50,4.55,3
1,APOLLO,114.95,7.00,6
2,ARROWGREEN,116.90,5.55,4
3,ASHIANA,120.75,5.75,5
4,BANSWRAS,129.00,4.10,3
5,BHARATGEAR,112.75,10.75,10
6,DCMNVL,120.45,5.70,4
7,DPABHUSHAN,126.50,3.95,3
8,EMAMIPAP,126.45,4.75,3
9,FACT,131.20,5.60,4
10,GATI,126.75,7.00,5
11,GSFC,121.60,3.70,3
12,INDOTECH,120.20,15.20,14
13,KITEX,112.70,6.55,6
14,KREBSBIO,127.25,11.55,9
15,MUKANDLTD,131.90,6.25,4
16,ORIENTCEM,135.00,8.20,6
17,SCI,115.00,4.25,3
18,TAJGVK,134.75,4.70,3
19,TIRUMALCHM,125.50,3.65,3
20,V2RETAIL,113.05,5.35,4
21,VLSFINANCE,131.80,14.60,12
