,symbol,price,change,pchange
0,INDLMETER,14.80,-1.10,-6
1,MAGADSUGAR,181.35,-8.55,-4
2,NKIND,24.35,-1.25,-4
3,PNC,38.85,-1.45,-3
4,SAIL,121.30,-7.30,-5
5,TATAMTRDVR,144.50,-4.80,-3
6,VAKRANGEE,48.85,-1.70,-3
