,data
0,"('AARON', '106.55')"
1,"('ABCAPITAL', '127.50')"
2,"('ADANIPOWER', '105.10')"
3,"('AJMERA', '122.80')"
4,"('ALEMBICLTD', '126.70')"
5,"('APOLLO', '108.00')"
6,"('ARIES', '109.80')"
7,"('ARROWGREEN', '111.35')"
8,"('ASHIANA', '116.00')"
9,"('ASHOKLEY', '124.00')"
10,"('ASTRAMICRO', '122.20')"
11,"('BANSWRAS', '122.70')"
12,"('BHARATGEAR', '101.00')"
13,"('BLISSGVS', '110.25')"
14,"('BODALCHEM', '101.95')"
15,"('CASTROLIND', '128.60')"
16,"('CHENNPETRO', '118.25')"
17,"('DCMNVL', '114.75')"
18,"('DLINKINDIA', '109.30')"
19,"('DPABHUSHAN', '122.40')"
20,"('DSSL', '111.60')"
21,"('EKC', '111.40')"
22,"('ELECTHERM', '124.90')"
23,"('EMAMIPAP', '124.00')"
24,"('FACT', '129.25')"
25,"('FILATEX', '104.65')"
26,"('GABRIEL', '115.05')"
27,"('GATI', '121.55')"
28,"('GEECEE', '106.95')"
29,"('GENESYS', '101.75')"
30,"('GICHSGFIN', '123.65')"
31,"('GPPL', '104.20')"
32,"('GRAVITA', '115.70')"
33,"('GSFC', '117.95')"
34,"('HERCULES', '122.70')"
35,"('HEXATRADEX', '117.10')"
36,"('HINDOILEXP', '114.20')"
37,"('HISARMETAL', '117.80')"
38,"('INDHOTEL', '124.00')"
39,"('INDIANB', '127.20')"
40,"('INDOTECH', '106.00')"
41,"('IOC', '105.90')"
42,"('IRB', '111.50')"
43,"('IRISDOREME', '116.35')"
44,"('ITI', '120.35')"
45,"('IVP', '120.50')"
46,"('JINDRILL', '117.15')"
47,"('JKTYRE', '123.95')"
48,"('JSWENERGY', '117.00')"
49,"('KANORICHEM', '128.05')"
50,"('KCP', '111.80')"
51,"('KITEX', '102.45')"
52,"('KREBSBIO', '116.50')"
53,"('MAHESHWARI', '112.70')"
54,"('MINDACORP', '114.00')"
55,"('MUKANDLTD', '125.65')"
56,"('NITINSPIN', '120.75')"
57,"('NRBBEARING', '116.00')"
58,"('NTPC', '112.15')"
59,"('ONGC', '114.20')"
60,"('ONMOBILE', '107.60')"
61,"('ONWARDTEC', '119.65')"
62,"('ORIENTCEM', '127.20')"
63,"('PFC', '116.50')"
64,"('PIONDIST', '112.15')"
65,"('ROSSELLIND', '121.95')"
66,"('SALONA', '112.15')"
67,"('SANGAMIND', '102.50')"
68,"('SCHNEIDER', '107.70')"
69,"('SCI', '111.40')"
70,"('SHREYAS', '112.60')"
71,"('STARCEMENT', '107.20')"
72,"('STARPAPER', '124.70')"
73,"('SUPERHOUSE', '129.45')"
74,"('TAJGVK', '127.70')"
75,"('TATAPOWER', '105.35')"
76,"('TATASTLBSL', '102.30')"
77,"('TIRUMALCHM', '122.95')"
78,"('UNIENTER', '101.75')"
79,"('V2RETAIL', '107.80')"
80,"('VETO', '127.40')"
81,"('VLSFINANCE', '117.20')"
82,"('WANBURY', '106.90')"
83,"('WATERBASE', '121.70')"
84,"('WEALTH', '124.00')"
85,"('WELENT', '111.85')"
86,"('XPROINDIA', '124.50')"
