,data
0,"('21STCENMGM', '14.35')"
1,"('3PLAND', '14.40')"
2,"('AGROPHOS', '12.75')"
3,"('ANIKINDS', '13.00')"
4,"('ARCHIES', '12.20')"
5,"('ARENTERP', '12.30')"
6,"('BAJAJHIND', '12.55')"
7,"('BEARDSELL', '12.90')"
8,"('CINEVISTA', '14.30')"
9,"('DHANBANK', '14.45')"
10,"('DHARSUGAR', '11.35')"
11,"('DISHTV', '12.75')"
12,"('DPSCLTD', '12.20')"
13,"('FELDVR', '11.90')"
14,"('FMNL', '14.50')"
15,"('HILTON', '11.25')"
16,"('IFCI', '11.20')"
17,"('JISLDVREQS', '13.50')"
18,"('JITFINFRA', '11.90')"
19,"('KARMAENG', '14.95')"
20,"('KHANDSE', '14.00')"
21,"('MANGTIMBER', '11.60')"
22,"('MANUGRAPH', '12.80')"
23,"('MEGASOFT', '11.70')"
24,"('MSPL', '11.05')"
25,"('PILITA', '12.85')"
26,"('RELCAPITAL', '11.30')"
27,"('SAKHTISUG', '13.55')"
28,"('SFHL-RE', '13.50')"
29,"('SGL', '11.10')"
30,"('SHREERAMA', '13.05')"
31,"('SHYAMTEL', '14.00')"
32,"('SICAL', '12.70')"
33,"('SIMBHALS', '14.80')"
34,"('SPMLINFRA', '12.60')"
35,"('SUMIT', '12.75')"
36,"('TMRVL', '12.20')"
37,"('TTML', '12.75')"
38,"('UCOBANK', '12.70')"
39,"('VASWANI', '13.75')"
40,"('VIPCLOTHNG', '14.30')"
41,"('YESBANK', '13.35')"
42,"('ZEELEARN', '11.40')"
