,data
0,"('A2ZINFRA', '4.55')"
1,"('ALPSINDUS', '1.80')"
2,"('ANKITMETAL', '1.35')"
3,"('BAGFILMS', '2.80')"
4,"('BALLARPUR', '1.15')"
5,"('BARTRONICS', '2.65')"
6,"('BCP', '3.55')"
7,"('BHANDARI', '2.50')"
8,"('BURNPUR', '3.05')"
9,"('CANDC', '4.45')"
10,"('COUNCODOS', '2.05')"
11,"('DCMFINSERV', '1.90')"
12,"('DNAMEDIA', '1.60')"
13,"('EASTSILK', '3.00')"
14,"('EASUNREYRL', '2.45')"
15,"('EDUCOMP', '3.05')"
16,"('EMCO', '1.65')"
17,"('EXCEL', '2.80')"
18,"('GAL', '3.30')"
19,"('GAMMNINFRA', '1.20')"
20,"('GISOLUTION', '2.50')"
21,"('GOENKA', '1.40')"
22,"('GREENPOWER', '2.40')"
23,"('HDIL', '4.65')"
24,"('INDOSOLAR', '1.95')"
25,"('INDOWIND', '4.35')"
26,"('INFOMEDIA', '3.95')"
27,"('JAINSTUDIO', '1.90')"
28,"('JMTAUTOLTD', '2.70')"
29,"('JPINFRATEC', '1.75')"
30,"('JPPOWER', '3.70')"
31,"('JYOTISTRUC', '4.70')"
32,"('KANANIIND', '4.20')"
33,"('KRIDHANINF', '4.15')"
34,"('LCCINFOTEC', '1.60')"
35,"('LGBFORGE', '4.90')"
36,"('LPDC', '2.10')"
37,"('LSIL', '1.85')"
38,"('LYPSAGEMS', '4.05')"
39,"('MAGNUM', '4.80')"
40,"('MELSTAR', '2.20')"
41,"('MERCATOR', '1.25')"
42,"('MIC', '1.15')"
43,"('NEXTMEDIA', '4.20')"
44,"('NILAINFRA', '4.95')"
45,"('NILASPACES', '1.55')"
46,"('OPTOCIRCUI', '4.50')"
47,"('ORTEL', '1.05')"
48,"('PRAKASHSTL', '1.00')"
49,"('PREMIER', '3.15')"
50,"('PUNJLLOYD', '1.70')"
51,"('RADAAN', '1.10')"
52,"('RCOM', '1.70')"
53,"('RHFL', '2.60')"
54,"('RMCL', '2.25')"
55,"('RNAVAL', '2.90')"
56,"('ROHITFERRO', '2.50')"
57,"('ROLLT', '3.05')"
58,"('RTNPOWER', '3.10')"
59,"('SABEVENTS', '1.60')"
60,"('SABTN', '1.75')"
61,"('SALSTEEL', '4.60')"
62,"('SAMBHAAV', '2.65')"
63,"('SCAPDVR', '2.35')"
64,"('SHRENIK', '2.20')"
65,"('SINTEX', '3.75')"
66,"('SITINET', '1.15')"
67,"('SKIL', '2.70')"
68,"('SPENTEX', '1.00')"
69,"('SPTL', '4.00')"
70,"('SUMEETINDS', '4.95')"
71,"('SUNDARAM', '1.45')"
72,"('SYNCOM', '3.00')"
73,"('TARAPUR', '4.80')"
74,"('TECHIN', '4.90')"
75,"('TFL', '2.90')"
76,"('TVVISION', '2.65')"
77,"('UJAAS', '2.70')"
78,"('UMESLTD', '3.10')"
79,"('UNITECH', '1.85')"
80,"('VICEROY', '2.80')"
81,"('VIDEOIND', '4.35')"
82,"('VIKASECO', '2.25')"
83,"('VIKASLIFE', '3.45')"
84,"('VIKASPROP', '2.20')"
