,data
0,"('AAKASH', '154.95')"
1,"('ACE', '158.75')"
2,"('AHLEAST', '156.70')"
3,"('ARVEE', '167.65')"
4,"('ASHAPURMIN', '161.15')"
5,"('ASTERDM', '154.30')"
6,"('AURIONPRO', '155.70')"
7,"('BEL', '155.30')"
8,"('BEPL', '160.70')"
9,"('CHALET', '152.50')"
10,"('CHEMFAB', '161.65')"
11,"('DANGEE', '152.95')"
12,"('DELTACORP', '162.70')"
13,"('FINPIPE', '153.30')"
14,"('GAIL', '152.30')"
15,"('HITECHCORP', '168.25')"
16,"('ICIL', '156.30')"
17,"('INDIANCARD', '167.00')"
18,"('KAMDHENU', '153.30')"
19,"('KHADIM', '166.05')"
20,"('KILITCH', '159.80')"
21,"('LINCPEN', '155.00')"
22,"('MANAPPURAM', '158.55')"
23,"('NAHARPOLY', '161.55')"
24,"('NIACL', '164.55')"
25,"('PRECOT', '156.70')"
26,"('REMSONSIND', '161.00')"
27,"('RESPONIND', '161.50')"
28,"('SESHAPAPER', '157.00')"
29,"('SHALBY', '155.00')"
30,"('SMSPHARMA', '153.40')"
31,"('TRIVENI', '154.00')"
32,"('UCALFUEL', '163.20')"
33,"('UNIVCABLES', '162.25')"
34,"('UTTAMSUGAR', '156.60')"
35,"('ZOTA', '151.50')"
