Date,Open,High,Low,Close,Volume
2021-05-03 09:15:00,590.0,596.85,570.45,572.5,1500804.0
2021-05-04 09:15:00,578.0,589.0,567.0,569.7,1334378.0
2021-05-05 09:15:00,574.0,577.6,565.0,568.25,979546.0
2021-05-06 09:15:00,571.0,592.8,570.0,578.0,2641309.0
2021-05-07 09:15:00,581.85,584.85,570.2,574.0,1588585.0
2021-05-10 09:15:00,583.0,590.0,578.4,579.9,1196044.0
2021-05-11 09:15:00,577.55,631.95,575.6,612.5,10155865.0
2021-05-12 09:15:00,618.5,624.0,593.7,597.65,2993662.0
2021-05-14 09:15:00,597.8,599.0,565.65,572.75,2120375.0
2021-05-17 09:15:00,576.0,579.0,563.85,567.1,1792475.0
2021-05-18 09:15:00,573.15,612.0,572.25,608.3,9015134.0
2021-05-19 09:15:00,612.0,613.95,595.0,599.75,2018225.0
2021-05-20 09:15:00,599.0,612.4,589.05,591.6,2605955.0
2021-05-21 09:15:00,595.0,608.95,582.65,586.6,3020824.0
2021-05-24 09:15:00,569.0,644.7,555.05,634.25,24246327.0
2021-05-25 09:15:00,649.0,677.7,639.0,668.1,19646926.0
2021-05-26 15:30:00,674.8,680.95,663.05,666.6,6100317.0
